date	precio
20210319	18.5078
20210318	18.6001
20210317	18.7614
20210316	18.7216
20210312	18.7023
20210311	18.5854
20210310	18.5604
20210309	18.6199
20210308	18.5812
20210305	18.7148
20210304	18.7922
20210303	18.7246
20210302	18.8838
20210301	18.8909
20210226	18.861
20210225	18.8331
20210224	18.7902
20210223	18.6456
20210222	18.5659
20210219	18.6574
20210218	18.6518
20210217	18.6594
20210216	18.536
20210215	18.4797
20210212	18.5159
20210211	18.6025
20210210	18.6269
20210209	18.6703
20210208	18.8623
20210205	18.8815
20210204	18.6492
20210203	18.7009
20210202	18.5248
20210129	18.4004
20210128	18.6069
20210127	18.6982
20210126	18.6196
20210125	18.4672
20210122	18.478
20210121	18.5178
20210120	18.798
20210119	18.7118
20210118	18.5813
20210115	18.6361
20210114	18.655
20210113	18.8362
20210112	18.8113
20210111	19.0446
20210108	19.3433
20210107	19.2405
20210106	19.3065
20210105	19.2323
20210104	19.2737
20201231	19.2427
20201230	19.3717
20201229	19.4899
20201228	19.6629
20201224	19.7354
20201223	19.7867
20201222	19.7223
20201221	19.5848
20201218	19.3962
20201217	19.2291
20201216	19.1913
20201215	19.0289
20201214	19.1289
20201211	19.1202
20201210	19.1391
20201209	18.974
20201208	18.9445
20201207	18.9315
20201204	18.8897
20201203	18.6958
20201202	18.642
20201201	18.6399
20201130	18.6229
20201127	18.519
20201126	18.5848
20201125	18.52
20201124	18.5379
20201123	18.6041
20201120	18.74
20201119	18.8242
20201118	18.9724
20201117	19.1224
20201113	19.2268
20201112	19.1334
20201111	19.168
20201110	19.0526
20201109	19.09
20201106	19.0718
20201105	19.1349
20201104	19.0814
20201103	19.185
20201030	19.1241
20201029	19.1478
20201028	19.2188
20201027	19.1474
20201026	19.096
20201023	19.077
20201022	19.2009
20201021	19.0489
20201020	19.008
20201019	18.8248
20201016	18.8869
20201015	19.0117
20201014	19.0753
20201013	18.9008
20201012	18.7631
20201009	18.718
20201008	18.6327
20201007	18.6646
20201006	18.5522
20201005	18.306
20201002	18.2282
20201001	18.2113
20200930	18.2337
20200929	18.159
20200928	18.1979
20200925	18.13
20200924	17.9933
20200923	17.8831
20200922	17.7487
20200921	17.8545
20200918	17.7009
20200917	17.7643
20200915	17.761
20200914	17.6857
20200911	17.7278
20200910	17.7836
20200909	17.781
20200908	17.6443
20200907	17.7331
20200904	17.6965
20200903	17.8136
20200902	17.836
20200901	17.8683
20200831	17.7861
20200828	17.8145
20200827	17.7753
20200826	17.876
20200825	17.8049
20200824	17.6205
20200821	17.6977
20200820	17.7113
20200819	17.6458
20200818	17.6501
20200817	17.8584
20200814	17.7324
20200813	17.716
20200812	17.8483
20200811	17.7755
20200810	17.847
20200807	17.9073
20200806	17.9671
20200805	17.916
20200804	17.9641
20200803	17.8798
20200731	17.8733
20200730	17.8696
20200729	17.8108
20200728	17.8646
20200727	17.7435
20200724	17.6886
20200723	17.7561
20200722	17.7492
20200721	17.6893
20200720	17.5618
20200717	17.526
20200716	17.4937
20200715	17.5134
20200714	17.5836
20200713	17.5613
20200710	17.7422
20200709	17.7708
20200708	17.9482
20200707	17.9751
20200706	18.1394
20200703	18.3227
20200702	18.3556
20200701	18.2036
20200630	18.2064
20200629	18.0626
20200626	18.0279
20200625	17.8973
20200624	17.9862
20200623	17.8775
20200622	17.99
20200619	18.127
20200618	18.157
20200617	18.1167
20200616	17.9519
20200615	17.9321
20200612	18.1154
20200611	17.9343
20200610	18.0725
20200609	18.1802
20200608	18.1939
20200605	18.1946
20200604	18.2278
20200603	18.2762
20200602	18.3819
20200601	18.6204
20200529	18.5941
20200528	18.6909
20200527	18.6643
20200526	18.5121
20200525	18.4849
20200522	18.4185
20200521	18.5689
20200520	18.615
20200519	18.6633
20200518	18.6859
20200515	18.8898
20200514	18.6761
20200513	18.6183
20200512	18.67
20200511	18.7594
20200508	18.9039
20200507	18.9587
20200506	19.1364
20200505	19.1164
20200504	19.0137
20200430	19.0019
20200429	18.8031
20200428	18.7731
20200427	18.9594
20200424	19.067
20200423	19.1119
20200422	18.9225
20200421	18.6521
20200420	18.8413
20200417	18.8187
20200416	18.8374
20200415	18.4863
20200414	18.5582
20200413	18.7528
20200408	18.7646
20200407	18.6923
20200406	18.656
20200403	18.7696
20200402	18.7192
20200401	18.8334
20200331	18.732
20200330	18.7955
20200327	18.7079
20200326	18.8092
20200325	18.8853
20200324	18.8661
20200323	18.8528
20200320	18.9877
20200319	19.0837
20200318	19.107
20200317	19.117
20200313	19.173
20200312	19.4493
20200311	19.6543
20200310	19.5803
20200309	19.6279
20200306	19.7974
